Male,AlcYearTotal,EverHadAlcohol,Married,Under21,AlcoholAbuse,White,Black,Asian,Hispanic,LessHighS,HighSchool,SomeCollege,CollegeGrad,Employed,Unemployed,Student/Other,Less20k,20-50k,50-75k,Over75k
1,24,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
0,12,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,36,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
0,156,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,10,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,4,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,48,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,36,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,104,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,24,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,24,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,240,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,52,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,30,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,72,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,24,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
1,260,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,24,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,5,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,52,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,10,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,24,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,7,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,341,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
0,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,36,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,72,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,52,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
0,72,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,156,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,15,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,120,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,24,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,20,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,60,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,72,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,6,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,240,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,208,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,24,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,208,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,104,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,52,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,60,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,24,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,260,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,52,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,10,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,36,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,60,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,52,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,156,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,104,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,12,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,5,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
1,260,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
1,5,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,72,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,72,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,83,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,60,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,240,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1,156,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
0,6,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
0,104,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
0,52,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,156,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,156,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
0,7,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
0,60,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,60,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,96,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,104,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,72,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,24,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,240,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
