YEAR,MONTH_NUM,MONTH_MON,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_C_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1
2016,12.00,DEC,Beauvais-Tillí©,France,40.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Avignon-Caumont,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Montpellier-Mí©diterraní©e,France,29.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Perpignan-Rivesaltes,France,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Nice-CíÇte däó»Azur,France,140.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Marseille-Provence,France,119.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Carcassonne-Salvaza,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Istres-Le Tubí©,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Saint-Etienne-Bouthí©on,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Cannes-Mandelieu,France,15.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lyon-Bron,France,10.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chí¢teauroux-Dí©ols,France,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Grenoble-IsíÂre,France,13.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Annecy-Meythet,France,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Lyon-Saint-Exupí©ry,France,115.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Clermont-Ferrand-Auvergne,France,14.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Chambí©ry-Aix-les-Bains,France,31.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Ajaccio-Napolí©on-Bonaparte,France,19.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Figari-Sud Corse,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Calvi-Sainte-Catherine,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bastia-Poretta,France,20.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Metz-Nancy-Lorraine,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,DíÇle-Tavaux,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rodez-Marcillac,France,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Biarritz-Bayonne-Anglet,France,14.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Tarbes-Lourdes Pyrí©ní©es,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Pau-Pyrí©ní©es,France,11.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Toulouse-Blagnac,France,100.00,1567.00,48.00,32.00,0.00,0.00,0.00
2016,12.00,DEC,Limoges-Bellegarde,France,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,La Rochelle-Ile de Rí©,France,5.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bergerac-RoumaniíÂre,France,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Bordeaux-Mí©rignac,France,77.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Agen-La Garenne,France,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Stockholm/ Bromma,Sweden,53.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Stockholm/ Arlanda,Sweden,265.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Rotterdam,Netherlands,26.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Groningen,Netherlands,4.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Maastricht-Aachen,Netherlands,7.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Amsterdam/ Schiphol,Netherlands,566.00,3843.00,170.00,115.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Stansted,United Kingdom,246.00,14114.00,177.00,161.00,0.00,0.00,0.00
2016,12.00,DEC,Edinburgh,United Kingdom,149.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Glasgow,United Kingdom,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Aberdeen,United Kingdom,60.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,East Midlands,United Kingdom,81.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Heathrow,United Kingdom,519.00,31274.00,262.00,235.00,0.00,0.00,0.00
2016,12.00,DEC,Farnborough,United Kingdom,6.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,London/ City,United Kingdom,3.00,2098.00,20.00,18.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Gatwick,United Kingdom,305.00,27983.00,243.00,228.00,0.00,0.00,0.00
2016,12.00,DEC,Biggin Hill,United Kingdom,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Southampton,United Kingdom,9.00,914.00,12.00,12.00,0.00,0.00,0.00
2016,12.00,DEC,London/ Luton,United Kingdom,162.00,5181.00,98.00,84.00,0.00,0.00,0.00
2016,12.00,DEC,Manchester,United Kingdom,262.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Birmingham,United Kingdom,172.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Londonderry/Eglinton,United Kingdom,3.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Belfast/City Airport,United Kingdom,47.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,12.00,DEC,Belfast/Aldergrove,United Kingdom,67.00,0.00,0.00,0.00,0.00,0.00,0.00
